UF;MUNICIPIO;PROJETO;INSTRUMENTO;SIGLA_ACAO;ACAO;EMENDA_PARLAMENTAR;AUTOR_PARLAMENTAR;NU_ANO_VIGENCIA;DATA_ASSINATURA_CONVENIO;DATA_INICIO_CONVENIO;DATA_TERMINO_CONVENIO;VIGENTE;SITUACAO_OBRA;PARC_PAGAS;PARC_A_PAGAR;DT_ULTIMO_PAGAMENTO;VL_TOTAL_EMPENHADO;VL_SALDO_EMPENHO;VALOR_TOTAL_PROJETO;VL_PG_PARCELA_0;VL_PG_PARCELA_1;VL_PG_PARCELA_2;VL_PG_PARCELA_3;VL_PG_PARCELA_4
AC;JORDÃO;AC0304180424;CV 0413/18;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;FLAVIANO MELO;2018;31/05/2018;01/06/2018;01/06/2022;SIM;Não iniciada - Licitação não concluída;0;3;;300000;300000;300364.92;0;0;0;0;0
AC;JORDÃO;AC0305162405;CV 0015/16;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;SERGIO PETECAO;2016;30/12/2016;30/12/2016;31/12/2022;SIM;Em execução;2;0;26/10/2021;250000;23948.08;226323.18;0;113025.96;113025.96;0;0
AC;JORDÃO;AC1505141409;CV 0047/14;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;SERGIO PETECAO;2014;16/12/2014;16/12/2014;31/12/2022;SIM;Em execução;2;0;25/08/2021;250000;25392.82;226323.18;0;112303.59;112303.59;0;0
AC;JORDÃO;AC1708150104;CV 0204/15;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;GLADSON CAMELI;2015;31/12/2015;31/12/2015;31/12/2022;SIM;Em execução;2;0;25/08/2021;390272;18620.13;372032.81;0;185825.93;185825.94;0;0
AC;JORDÃO;AC2205170402;CV 0040/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;CESAR MESSIAS;2017;30/12/2017;30/12/2017;25/09/2022;SIM;Em execução;2;1;25/08/2021;250000;91763.66;226323.18;0;45210.38;113025.96;0;0
AC;JORDÃO;AC2612130699;CV 0808/13;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;NÃO;;2013;31/12/2013;31/12/2013;31/12/2022;SIM;Em execução;2;0;21/09/2021;500000;29834.98;479892.73;0;235082.51;235082.51;0;0
AC;MANOEL URBANO;AC2205170472;CV 0029/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;JESSICA SALES;2017;29/12/2017;29/12/2017;29/09/2022;SIM;Não iniciada - Licitação concluída;0;3;;292000;292000;207888.36;0;0;0;0;0
AC;MUNICIPIO DE MANCIO LIMA;AC0304180402;CV 0391/18;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;ROCHA;2018;31/05/2018;01/06/2018;01/06/2023;SIM;Não iniciada - Licitação não concluída;0;3;;300000;300000;285779.68;0;0;0;0;0
AC;MUNICIPIO DE MANCIO LIMA;AC3011177986;CV 2985/17;Ed. Saúde Ambiental;PROJETO DE EDUCAÇÃO EM SAÚDE AMBIENTAL;NÃO;;2017;01/12/2017;01/12/2017;;NÃO;Não iniciada - Licitação não concluída;0;1;;;;150000;0;0;0;0;0
AC;MUNICIPIO DE MANCIO LIMA;AC2610113585;CV 0498/11;Resíduos;RESÍDUOS SÓLIDOS;NÃO;;2011;30/12/2011;30/12/2011;30/12/2015;NÃO;Não iniciada - Licitação não concluída;0;3;;0;0;1428600;0;0;0;0;0
AC;MUNICIPIO DE MANCIO LIMA;AC2205170406;CV 0031/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;CESAR MESSIAS;2017;30/12/2017;30/12/2017;31/12/2022;SIM;Em execução;2;1;16/02/2022;250000;122764.32;181983.26;0;36353.05;90882.63;0;0
AC;MUNICIPIO DE MANCIO LIMA;AC1503190039;CV 0039/19;Água;SISTEMA DE ABASTECIMENTO DE ÁGUA EM ÁREAS RURAIS;SIM;CESAR MESSIAS;2019;31/12/2019;31/12/2019;31/12/2022;SIM;Não iniciada - Licitação não concluída;0;2;;350000;350000;350000;0;0;0;0;0
AC;MUNICIPIO DE MANCIO LIMA;AC0305162411;CV 0023/16;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;JESSICA SALES;2016;30/12/2016;30/12/2016;31/12/2020;NÃO;Em execução;2;0;10/03/2020;300000;0;279847.41;0;140752.14;138785.28;0;0
AC;MUNICIPIO DE MARECHAL THAUMATURGO;AC2205170404;CV 0047/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;CESAR MESSIAS;2017;30/12/2017;30/12/2017;31/12/2022;SIM;Não iniciada - Licitação não concluída;0;3;;250000;250000;229977.9;0;0;0;0;0
AC;PLÁCIDO DE CASTRO;AC0304180415;CV 0404/18;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;CESAR MESSIAS;2018;31/05/2018;01/06/2018;30/06/2022;SIM;Não iniciada - Licitação não concluída;0;3;;250000;250000;237822.53;0;0;0;0;0
AC;PLÁCIDO DE CASTRO;AC3012166619;CV 0647/16;MSD - Rurais;MELHORIAS SANITÁRIAS DOMICILIARES EM ÁREAS RURAIS - MSD;SIM;COMISSAO DE ASSUNTOS SOCIAIS - CAS;2016;30/12/2016;30/12/2016;31/12/2022;SIM;Não iniciada - Licitação não concluída;0;2;;250000;250000;238044.96;0;0;0;0;0
AC;PLÁCIDO DE CASTRO;AC2510113029;CV 0086/11;PMSB;PLANO MUNICIPAL DE SANEAMENTO BÁSICO ;NÃO;;2011;30/12/2011;30/12/2011;31/12/2020;NÃO;Em execução;2;0;14/03/2019;200000;0;204100;0;100000;100000;0;0
AC;PLÁCIDO DE CASTRO;AC2205170398;CV 0044/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;CESAR MESSIAS;2017;30/12/2017;30/12/2017;29/12/2022;SIM;Em execução;3;0;16/02/2022;250000;5525.32;244768.68;0;48894.93;122237.34;73342.41;0
AC;PLÁCIDO DE CASTRO;AC1908150193;CV 0221/15;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;SERGIO PETECAO;2015;31/12/2015;31/12/2015;31/10/2021;NÃO;Em execução;2;0;14/12/2020;300000;0;277653.97;0;138592.48;138592.49;0;0
AC;PLÁCIDO DE CASTRO;AC0304180442;CV 0431/18;MSD - Rurais;MELHORIAS SANITÁRIAS DOMICILIARES EM ÁREAS RURAIS - MSD;SIM;ROCHA;2018;31/05/2018;01/06/2018;01/07/2022;SIM;Não iniciada - Licitação não concluída;0;3;;400000;400000;392871.32;0;0;0;0;0
AC;PLÁCIDO DE CASTRO;AC0304180435;CV 0424/18;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;ALAN RICK;2018;31/05/2018;01/06/2018;01/07/2022;SIM;Não iniciada - Licitação não concluída;0;3;;400000;400000;398804.99;0;0;0;0;0
AC;PORTO ACRE;AC1505141396;CV 0030/14;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;FLAVIANO MELO;2014;16/12/2014;16/12/2014;31/12/2022;SIM;Em execução;2;0;12/08/2020;250000;25405.92;225222.96;0;118442.74;106151.34;0;0
AC;PORTO ACRE;AC2312130645;CV 0194/13;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;NÃO;;2013;31/12/2013;31/12/2013;31/12/2022;SIM;Em execução;2;0;15/02/2022;500000;37584.5;472224.26;0;244018.67;218396.83;0;0
AC;PORTO ACRE;AC2205170407;CV 0046/17;Água;SISTEMA DE ABASTECIMENTO DE ÁGUA EM ÁREAS RURAIS;SIM;CESAR MESSIAS;2017;30/12/2017;30/12/2017;29/09/2022;SIM;Não iniciada - Licitação não concluída;0;3;;550000;550000;550600;0;0;0;0;0
AC;PORTO WALTER;AC0304180475;CV 0464/18;Água;SISTEMA DE ABASTECIMENTO DE ÁGUA EM ÁREAS RURAIS;SIM;ANGELIM;2018;31/05/2018;01/06/2018;01/06/2022;SIM;Não iniciada - Licitação não concluída;0;3;;300000;300000;300400;0;0;0;0;0
AC;PORTO WALTER;AC1409164611;CV 0169/16;MSD - Rurais;MELHORIAS SANITÁRIAS DOMICILIARES EM ÁREAS RURAIS - MSD;SIM;JESSICA SALES;2016;30/12/2016;30/12/2016;30/12/2023;SIM;Não iniciada - Licitação não concluída;0;2;;326143;326143;302837.34;0;0;0;0;0
AC;PORTO WALTER;AC0808174227;CV 0229/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;ANGELIM;2017;29/12/2017;29/12/2017;11/07/2022;SIM;NÃO INICIADA;0;3;;250000;250000;229936.95;0;0;0;0;0
AC;RIO BRANCO;AC0504138686;TC/PAC 0005/14;Água;SISTEMA DE ABASTECIMENTO DE ÁGUA;NÃO;;2014;13/08/2014;13/08/2014;25/06/2023;SIM;Em execução;1;3;09/12/2019;1524427.69;1013027.69;2557000;0;511400;0;0;0
AC;RIO BRANCO;AC3011178034;CV 3090/17;Ed. Saúde Ambiental;PROJETO DE EDUCAÇÃO EM SAÚDE AMBIENTAL;NÃO;;2017;05/03/2018;05/03/2018;;NÃO;Não iniciada - Licitação não concluída;0;1;;;;200000;0;0;0;0;0
AC;RIO BRANCO;AC2610124672;CV 0290/12;Ed. Saúde Ambiental;PROJETO DE EDUCAÇÃO EM SAÚDE AMBIENTAL;NÃO;;2012;28/12/2012;28/12/2012;28/12/2018;NÃO;Não iniciada - Licitação não concluída;1;1;07/10/2015;221974.65;0;493277;0;221974.65;0;0;0
AC;RIO BRANCO;AC2205170391;CV 0202/17;Água;SISTEMA DE ABASTECIMENTO DE ÁGUA EM ÁREAS RURAIS;SIM;ALAN RICK;2017;30/12/2017;30/12/2017;;NÃO;NÃO INICIADA;0;2;;;;303000;0;0;0;0;0
AC;RIO BRANCO;AC1912166317;CV 0498/16;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;ALAN RICK;2016;30/12/2016;30/12/2016;30/06/2022;SIM;Não iniciada - Licitação não concluída;0;2;;634286;634286;632929.44;0;0;0;0;0
AC;RIO BRANCO;AC1908150176;CV 0181/15;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;ANIBAL DINIZ;2015;31/12/2015;31/12/2015;31/12/2022;SIM;Não iniciada - Licitação não concluída;0;4;;1500000;1500000;1059660.99;0;0;0;0;0
AC;RIO BRANCO;AC1809073328;TC/PAC 0254/07;Drenagem;DRENAGEM PARA CONTROLE DA MALÁRIA;NÃO;;2007;31/12/2007;31/12/2007;31/12/2020;NÃO;Paralisada;4;0;02/08/2018;1800000;0;1811181.27;0;572786.02;429589.52;649698.5;0
AC;RIO BRANCO;AC1307114475;TC/PAC 0255/12;Água;SISTEMA DE ABASTECIMENTO DE ÁGUA;NÃO;;2012;28/12/2012;28/12/2012;31/12/2020;NÃO;Em execução;4;0;09/10/2019;7528464.58;0;6392175.71;0;2180158.62;1404005.7;1404005.69;1404005.69
AC;RIO BRANCO;AC1307114445;TC/PAC 0260/12;Água;SISTEMA DE ABASTECIMENTO DE ÁGUA;NÃO;;2012;20/12/2012;20/12/2012;30/09/2022;SIM;Em execução;4;0;29/10/2021;1183703.04;96180.92;1087522.12;0;430210.89;320139.34;337171.89;0
AC;RIO BRANCO;AC1007139298;CV 0524/13;Ed. Saúde Ambiental;PROJETO DE EDUCAÇÃO EM SAÚDE AMBIENTAL;NÃO;;2013;31/12/2013;31/12/2013;30/06/2017;NÃO;Não iniciada - Licitação não concluída;1;0;06/11/2014;337853;0;351930.21;0;337853;0;0;0
AC;RIO BRANCO;AC0912203154;CV 0783/20;SAS;SISTEMA DE ABASTECIMENTO DE ÁGUA EM ÁREAS RURAIS E COMUNIDADES TRADICIONAIS;SIM;RELATOR GERAL;2020;31/12/2020;31/12/2020;31/12/2023;SIM;Não iniciada - Licitação não concluída;0;2;;5000000;5000000;5005005;0;0;0;0;0
AC;RIO BRANCO;AC0504138822;TC/PAC 0006/14;Esgoto;SISTEMA DE ESGOTAMENTO SANITÁRIO;NÃO;;2014;13/08/2014;13/08/2014;13/08/2023;SIM;Não iniciada - Licitação não concluída;0;4;;824563.17;824563.17;16350981.56;0;0;0;0;0
AC;RODRIGUES ALVES;AC0304180426;CV 0415/18;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;FLAVIANO MELO;2018;31/05/2018;01/06/2018;01/06/2023;SIM;Não iniciada - Licitação não concluída;0;3;;450000;450000;448876.94;0;0;0;0;0
AC;RODRIGUES ALVES;AC2911176854;CV 1900/17;Resíduos;RESÍDUOS SÓLIDOS;NÃO;;2017;29/12/2017;29/12/2017;;NÃO;Não iniciada - Licitação não concluída;;;;;;240500;;;;;
AC;RODRIGUES ALVES;AC2205170403;CV 0030/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;CESAR MESSIAS;2017;30/12/2017;30/12/2017;;NÃO;Não iniciada - Licitação não concluída;0;2;;;;250300;0;0;0;0;0
AC;RODRIGUES ALVES;AC1305200091;CV 0091/20;SAS;SISTEMA DE ABASTECIMENTO DE ÁGUA EM ÁREAS RURAIS E COMUNIDADES TRADICIONAIS;SIM;MARA ROCHA;2020;20/07/2020;20/07/2020;18/09/2023;SIM;Não iniciada - Licitação não concluída;0;2;;260000;260000;260300;0;0;0;0;0
AC;RODRIGUES ALVES;AC0304180433;CV 0422/18;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;ANGELIM;2018;31/05/2018;01/06/2018;01/06/2023;SIM;Não iniciada - Licitação não concluída;0;3;;300000;300000;273249.33;0;0;0;0;0
AC;SANTA ROSA DO PURUS;AC1303190015;CV 0015/19;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;FLAVIANO MELO;2019;31/12/2019;31/12/2019;31/12/2022;SIM;Não iniciada - Licitação concluída;0;3;;300000;300000;270406;0;0;0;0;0
AC;SANTA ROSA DO PURUS;AC2610190155;CV 0154/19;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;SERGIO PETECAO;2019;31/12/2019;31/12/2019;31/12/2022;SIM;Não iniciada - Licitação não concluída;0;3;;500000;500000;475115.68;0;0;0;0;0
AC;SANTA ROSA DO PURUS;AC2511152259;CV 0185/15;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;FLAVIANO MELO;2015;31/12/2015;31/12/2015;30/06/2022;SIM;Em execução;2;0;22/07/2020;300000;34895.96;265604.01;0;149740.03;115364.01;0;0
AC;SANTA ROSA DO PURUS;AC2205170405;CV 0041/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;CESAR MESSIAS;2017;30/12/2017;30/12/2017;;NÃO;Não iniciada - Licitação não concluída;0;2;;;;250300;0;0;0;0;0
AC;SANTA ROSA DO PURUS;AC1708150105;CV 0205/15;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;GLADSON CAMELI;2015;31/12/2015;31/12/2015;30/06/2022;SIM;Em execução;2;0;21/07/2020;300000;6657.56;293742.41;0;149790.03;143552.41;0;0
AC;SANTA ROSA DO PURUS;AC1505141412;CV 0054/14;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;SERGIO PETECAO;2014;16/12/2014;16/12/2014;30/06/2022;SIM;Em execução;2;0;21/07/2020;300000;9300.29;293742.41;0;148436.36;142263.35;0;0
AC;SENA MADUREIRA;AC0809101724;CV 0349/10;PMSB;PLANOS MUNICIPAIS DE SANEAMENTO BÁSICO;NÃO;;2010;30/12/2010;30/12/2010;11/10/2021;NÃO;Em execução;2;0;18/12/2018;200000;0;204100;0;100000;100000;0;0
AC;SENA MADUREIRA;AC3012166620;CV 0646/16;MSD - Rurais;MELHORIAS SANITÁRIAS DOMICILIARES EM ÁREAS RURAIS - MSD;SIM;COMISSAO DE ASSUNTOS SOCIAIS - CAS;2016;30/12/2016;30/12/2016;30/09/2022;SIM;Não iniciada - Licitação não concluída;0;2;;500000;500000;500550;0;0;0;0;0
AC;SENA MADUREIRA;AC1912192739;CV 0534/19;URBRES;SISTEMAS PÚBLICO DE MANEJO DE RESÍDUOS SÓLIDOS;SIM;COMISSAO MISTA DE PLANOS, ORCAMENTOS PUBLICOS E FI;2019;31/12/2019;31/12/2019;31/12/2022;SIM;Não iniciada - Licitação não concluída;0;4;;2700000;2700000;2700000;0;0;0;0;0
AC;SENADOR GUIOMARD;AC0305162404;CV 0014/16;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;SERGIO PETECAO;2016;30/12/2016;30/12/2016;31/03/2023;SIM;Não iniciada - Licitação não concluída;0;2;;321219;321219;302889.43;0;0;0;0;0
AC;SENADOR GUIOMARD;AC3011179779;CV 2540/17;Ed. Saúde Ambiental;PROJETO DE EDUCAÇÃO EM SAÚDE AMBIENTAL;NÃO;;2017;01/11/2017;01/11/2017;;NÃO;Não iniciada - Licitação não concluída;0;2;;;;180000;0;0;0;0;0
AC;TARAUACÁ;AC1305200069;CV 0069/20;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;PERPETUA ALMEIDA;2020;20/07/2020;20/07/2020;20/07/2023;SIM;Não iniciada - Licitação não concluída;0;2;;300000;300000;300000;0;0;0;0;0
AC;TARAUACÁ;AC2205170466;CV 0038/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;JESSICA SALES;2017;30/12/2017;30/12/2017;30/06/2022;SIM;Não iniciada - Licitação não concluída;0;3;;300000;300000;295285.09;0;0;0;0;0
AC;TARAUACÁ;AC2205170414;CV 0050/17;MSD - Rurais;MELHORIAS SANITÁRIAS DOMICILIARES EM ÁREAS RURAIS - MSD;SIM;CESAR MESSIAS;2017;30/12/2017;30/12/2017;30/06/2022;SIM;Não iniciada - Licitação não concluída;0;3;;250000;250000;221102.66;0;0;0;0;0
AC;TARAUACÁ;AC2205170368;CV 0042/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;ROCHA;2017;30/12/2017;30/12/2017;;NÃO;Não iniciada - Licitação não concluída;0;2;;;;300400;0;0;0;0;0
AC;TARAUACÁ;AC1912192775;CV 0562/19;URBRES;SISTEMAS PÚBLICO DE MANEJO DE RESÍDUOS SÓLIDOS;SIM;COMISSAO MISTA DE PLANOS, ORCAMENTOS PUBLICOS E FI;2019;31/12/2019;31/12/2019;31/12/2023;SIM;Não iniciada - Licitação não concluída;0;4;;2700000;2700000;2700000;0;0;0;0;0
AC;TARAUACÁ;AC1505141424;CV 0105/14;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;TAUMATURGO LIMA;2014;16/12/2014;16/12/2014;16/12/2021;NÃO;Paralisada;1;1;25/06/2018;300000;0;304859.34;0;149030.49;0;0;0
AC;TARAUACÁ;AC1505141416;CV 0090/14;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;SIBA MACHADO;2014;16/12/2014;16/12/2014;16/12/2021;NÃO;Paralisada;1;1;25/06/2018;700000;0;681025.36;0;339876.64;0;0;0
