CODIGO_IBGE_UF;UF;COD_IBGE_MUN;MUNICIPIO;ACAO;SIGLA_ACAO;CODIGO_PLANO_TRABALHO;NUMERO_INSTRUMENTO;NUMERO_PROPOSTA_SICONV;NUMERO_CONVENIO_SICONV;EMENDA_PARLAMENTAR;AUTOR_PARLAMENTAR; VALOR_EMPREENDIMENTO ; VALOR_CONTRAPARTIDA ;DATA_ASSINATURA_CONVENIO;ANO;DATA_ASSINATURA_CONVENIO;DATA_INICIO_VIGENCIA;DATA_TERMINO_VIGENCIA;VIGENTE;SITUACAO_DA_OBRA;PERCENTUAL_DA_OBRA; VALOR_PAGO ;PARCELAS_PAGAS;PARCELAS_A_PAGAR;DT_ULTIMO_PAGAMENTO; VALOR_TOTAL_EMPENHO ; VALOR_SALDO_EMPENHO ; VALOR_TOTAL_PROJETO ; VALOR_PAGO_PARCELA_0 ; VALOR_PAGO_PARCELA_1 ; VALOR_PAGO_PARCELA_2 ; VALOR_PAGO_PARCELA_3 ; VALOR_PAGO_PARCELA_4 ; VALOR_PAGO_PARCELA_5 ;DIAS_VIGÊNCIA;POPULAÇÃO;FIRJAN
50;MS;5002704;CAMPO GRANDE;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;MS0407112360;TC/PAC 0159/12;;;NÃO;;4.247.265,59;871.961,93;30/04/2012;2012;30/04/2012;05/03/2012;27/10/2021;NÃO;Em execução;87,4;3.375.303,66;5;0;09/07/2020;3.587.447,84; -   ;4.247.265,59; -   ;1.076.234,35;717.489,57;568.988,64;1.012.591,10; -   ;3523;906092;0,584300073
52;GO;5219001;SANCLERLÂNDIA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;GO1507112840;TC/PAC 0097/12;;;NÃO;;7.486.386,01; -   ;27/02/2012;2012;27/02/2012;27/02/2012;27/08/2016;NÃO;Concluída com etapa útil e com pendência;99,86;7.486.385,20;4;0;03/10/2013;7.486.385,20; -   ;7.486.386,01; -   ;2.245.915,00;1.497.277,20;1.497.277,20;2.245.915,80; -   ;1643;7632;nd
52;GO;5208707;GOIÂNIA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;GO1507119676;TC/PAC 0128/11;;;NÃO;;9.514.968,87; -   ;30/12/2011;2011;30/12/2011;30/12/2011;30/12/2014;NÃO;Não Executada;0;2.854.490,66;1;3;31/01/2012;2.854.490,66; -   ;9.514.968,87; -   ;2.854.490,66; -   ; -   ; -   ; -   ;1096;1536097;0,829262614
31;MG;3165560;SEM-PEIXE;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;MG0404136904;TC/PAC 0366/14;;;NÃO;;3.242.098,60; -   ;07/05/2014;2014;07/05/2014;07/05/2014;07/05/2023;SIM;Em execução;85,41;3.242.098,60;4;0;23/07/2021;3.450.934,90;208.836,30;3.242.098,60; -   ;690.186,98;1.035.280,47;1.035.280,47;481.350,68; -   ;3287;2606;0,636760511
32;ES;3204252;PONTO BELO;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;ES1212031673;CV 0248/03;;;NÃO;;250.003,65;7.575,11;22/12/2003;2003;22/12/2003;22/12/2003;09/09/2006;NÃO;CONCLUÍDA;100;244.928,56;0;2;;244.928,56; -   ;250.003,65; -   ; -   ; -   ; -   ; -   ; -   ;992;7940;0,761652653
41;PR;4125209;SÃO JORGE D'OESTE;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PR0404136819;TC/PAC 0314/14;;;NÃO;;8.812.182,98; -   ;07/05/2014;2014;07/05/2014;07/05/2014;16/04/2023;SIM;Em execução;50;7.049.746,38;3;1;04/02/2019;8.812.182,98;1.762.436,60;8.812.182,98; -   ;1.762.436,60;2.643.654,89;2.643.654,89; -   ; -   ;3266;9028;0,900275063
12;AC;1200328;JORDÃO;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;AC1807069022;CV 0320/06;;;NÃO;;412.371,15;12.371,14;25/06/2006;2006;25/06/2006;25/06/2006;27/08/2010;NÃO;CONCLUÍDA;100;400.000,00;3;1;28/01/2010;400.000,00; -   ;412.371,15; -   ; -   ; -   ; -   ; -   ; -   ;1524;8473;0,285810416
25;PB;2512101;POMBAL;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PB0607112585;TC/PAC 0415/11;;;NÃO;;14.461.353,81; -   ;21/12/2011;2011;21/12/2011;21/12/2011;17/08/2015;NÃO;Encerrada sem etapa útil;0;8.000.000,00;4;0;03/07/2014;8.000.000,00; -   ;14.461.353,81; -   ;2.400.000,00;1.600.000,00;1.600.000,00;2.400.000,00; -   ;1335;32802;0,563734245
21;MA;2102200;BURITI;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;MA0705090952;TC/PAC 0251/09;;;NÃO;;2.736.839,10;136.841,95;31/12/2009;2009;31/12/2009;31/12/2009;15/04/2012;NÃO;Encerrada sem etapa útil;0;2.599.997,15;4;1;27/12/2011;2.600.000,00; -   ;2.736.839,10; -   ; -   ;1.819.998,01;779.999,14; -   ; -   ;836;28798;0,32292808
31;MG;3117876;CONFINS;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;MG0511023900;CV 1698/02;;;NÃO;;41.883,51;3.147,51;20/12/2002;2002;20/12/2002;20/12/2002;10/01/2007;NÃO;CONCLUÍDA;0;39.969,00;0;1;;15.987,60; -   ;41.883,51; -   ; -   ; -   ; -   ; -   ; -   ;1482;6800;0,270800991
26;PE;2601904;BEZERROS;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PE0303053170;CV 1409/03;;;SIM;PASTOR FRANCISCO OLIMPIO;3.504.656,13;77.741,42;26/12/2003;2003;26/12/2003;26/12/2003;16/08/2008;NÃO;Encerrada sem etapa útil;33;9.635.878,56;0;1;;9.647.500,00; -   ;3.504.656,13; -   ; -   ; -   ; -   ; -   ; -   ;1695;60880;0,014478099
28;SE;2800506;AREIA BRANCA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;SE1712035205;CV 0273/03;;;NÃO;;291.230,93;8.858,70;22/12/2003;2003;22/12/2003;22/12/2003;19/04/2013;NÃO;Encerrada sem etapa útil;0;229.144,24;0;1;;290.738,50; -   ;291.230,93; -   ; -   ; -   ; -   ; -   ; -   ;3406;18686;0,322543256
51;MT;5103304;COMODORO;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;MT2311071385;TC/PAC 0320/07;;;NÃO;;2.996.483,19;196.483,19;31/12/2007;2007;31/12/2007;31/12/2007;30/04/2021;NÃO;Encerrada sem etapa útil;78,96;2.800.000,00;4;0;27/01/2016;2.800.000,00; -   ;2.996.483,19; -   ;560.000,00;1.400.000,00;840.000,00; -   ; -   ;4869;21008;0,57250146
27;AL;2706422;PARICONHA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;AL2804084354;TC/PAC 0182/08;;;NÃO;;1.799.999,79;53.999,99;31/12/2008;2008;31/12/2008;31/12/2008;28/04/2018;NÃO;Paralisada;67,6;1.745.999,72;3;1;11/11/2016;1.745.999,80; -   ;1.799.999,79; -   ;698.399,92;523.799,94;523.799,86; -   ; -   ;3405;10539;0,449783776
32;ES;3200805;BAIXO GUANDU;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;ES1709108672;CV 0036/10;35213/2010;749007/2010;NÃO;;204.200,00;4.200,00;30/12/2010;2010;30/12/2010;30/12/2010;30/04/2022;NÃO;Não iniciada - Licitação não concluída;; -   ;0;2;;200.000,00; -   ;204.200,00; -   ; -   ; -   ; -   ; -   ; -   ;4139;31132;0,823326344
50;MS;5000609;AMAMBAI;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;MS0507067688;CV 2029/06;;;SIM;BANCADA DO MATO GROSSO SUL;397.608,75;18.933,75;30/06/2006;2006;30/06/2006;30/06/2006;03/09/2008;NÃO;CONCLUÍDA;100;378.675,00;3;1;04/09/2007;378.675,00; -   ;397.608,75; -   ; -   ; -   ; -   ; -   ; -   ;796;39826;0,767107734
50;MS;5007695;SÃO GABRIEL DO OESTE;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;MS1207113875;TC/PAC 0443/11;;;NÃO;;2.500.000,00; -   ;21/12/2011;2011;21/12/2011;21/12/2011;15/05/2015;NÃO;Concluída com etapa útil e sem pendência;100;2.500.000,00;3;0;13/03/2014;2.500.000,00; -   ;2.500.000,00; -   ;1.000.000,00;750.000,00;750.000,00; -   ; -   ;1241;27221;0,816814053
50;MS;5002704;CAMPO GRANDE;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;MS1107113158;TC/PAC 0161/12;;;NÃO;;2.835.678,82;650.976,33;30/04/2012;2012;30/04/2012;30/04/2012;20/11/2017;NÃO;Concluída com etapa útil e com pendência;98,59;2.184.702,49;3;0;16/03/2017;2.184.702,49; -   ;2.835.678,82; -   ;873.881,00;655.410,75;655.410,74; -   ; -   ;2030;906092;0,584300073
25;PB;2509156;MARIZÓPOLIS;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PB0507067879;CV 2086/06;;;SIM;BANCADA DA PARAIBA;927.000,00;27.000,00;30/06/2006;2006;30/06/2006;30/06/2006;20/02/2013;NÃO;CONCLUÍDA;100;900.000,00;3;1;16/10/2012;900.000,00; -   ;927.000,00; -   ;180.000,00; -   ; -   ; -   ; -   ;2427;6654;0,360507904
25;PB;2512101;POMBAL;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PB3007092734;TC/PAC 0461/09;;;NÃO;;5.082.795,00;242.038,00;31/12/2009;2009;31/12/2009;31/12/2009;17/03/2014;NÃO;Encerrada sem etapa útil;51,21;4.840.757,00;4;2;22/03/2013;4.840.757,00; -   ;5.082.795,00; -   ; -   ;1.936.302,80; -   ;2.904.454,20; -   ;1537;32802;0,563734245
23;CE;2311264;QUITERIANÓPOLIS;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;CE2306067473;CV 0545/06;;;NÃO;;133.900,00;3.900,00;20/06/2006;2006;20/06/2006;20/06/2006;03/10/2008;NÃO;CONCLUÍDA;100;130.000,00;3;1;04/10/2007;130.000,00; -   ;133.900,00; -   ; -   ; -   ; -   ; -   ; -   ;836;21166;0,417454316
41;PR;4117206;NOVA OLÍMPIA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PR1506053265;CV 1665/05;;;NÃO;;207.835,54;10.920,54;19/12/2005;2005;19/12/2005;19/12/2005;21/02/2009;NÃO;Concluída com etapa útil e sem pendência;100;200.000,00;0;1;;200.000,00; -   ;207.835,54; -   ; -   ; -   ; -   ; -   ; -   ;1160;5826;0,368802409
35;SP;3518800;GUARULHOS;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;SP2610051869;CV 2204/05;;;NÃO;;5.301.866,77;2.353.219,17;21/12/2005;2005;21/12/2005;21/12/2005;21/03/2011;NÃO;CANCELADA;20;600.000,00;1;0;22/09/2009;3.000.000,00; -   ;5.301.866,77; -   ;600.000,00; -   ; -   ; -   ; -   ;1916;1392121;0,589042716
26;PE;2611606;RECIFE;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PE1811024830;CV 0766/02;;;NÃO;;861.538,35;88.737,80;14/12/2002;2002;14/12/2002;14/12/2002;14/12/2004;NÃO;CANCELADA;0; -   ;0;1;; -   ; -   ;861.538,35; -   ; -   ; -   ; -   ; -   ; -   ;731;1653461;0,722818769
41;PR;4106902;CURITIBA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PR0607112580;TC/PAC 0390/11;;;NÃO;;3.665.839,45; -   ;29/12/2011;2011;29/12/2011;29/12/2011;26/06/2017;NÃO;Concluída com etapa útil e sem pendência;100;3.665.839,45;4;0;22/10/2014;3.665.839,45; -   ;3.665.839,45; -   ;1.099.751,83;733.167,89;733.167,89;1.099.751,84; -   ;2006;1948626;0,817562186
41;PR;4126108;SÃO TOMÉ;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PR0304136419;TC/PAC 0311/14;;;NÃO;;6.433.840,80; -   ;07/05/2014;2014;07/05/2014;07/05/2014;06/07/2018;NÃO;Concluída com etapa útil e sem pendência;98;6.433.840,79;4;0;07/06/2018;6.433.840,79; -   ;6.433.840,80; -   ;1.286.768,15;1.930.152,24;1.930.152,24;1.286.768,16; -   ;1521;5750;0,558175448
50;MS;5002704;CAMPO GRANDE;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;MS0207112320;TC/PAC 0198/12;;;NÃO;;6.755.026,23;1.540.664,35;30/04/2012;2012;30/04/2012;30/04/2012;10/01/2019;NÃO;Concluída com etapa útil e sem pendência;96,51;5.214.361,88;4;0;24/10/2017;5.214.361,88; -   ;6.755.026,23; -   ;1.564.308,56;1.042.872,38;1.042.872,37;1.564.308,57; -   ;2446;906092;0,584300073
23;CE;2304400;FORTALEZA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;CE0410024320;CV 1264/02;;;NÃO;;5.746.226,09;584.457,22;17/12/2002;2002;17/12/2002;17/12/2002;16/12/2004;NÃO;CANCELADA;0; -   ;0;7;; -   ; -   ;5.746.226,09; -   ; -   ; -   ; -   ; -   ; -   ;730;2686612;0,810892293
22;PI;2202307;CANTO DO BURITI;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PI0507068011;CV 1953/06;;;SIM;BANCADA DO PIAUI;515.463,92;15.463,92;29/06/2006;2006;29/06/2006;29/06/2006;20/01/2012;NÃO;Encerrada sem etapa útil;90,86;500.000,00;3;1;26/05/2011;500.000,00; -   ;515.463,92; -   ;100.000,00; -   ; -   ; -   ; -   ;2031;21258;nd
26;PE;2614006;SERRITA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PE2605096480;CV 0038/09;31908/2009;704954/2009;SIM;JARBAS VASCONCELOS;381.678,70;81.678,70;31/12/2009;2009;31/12/2009;31/12/2009;25/07/2014;NÃO;Concluída com etapa útil e sem pendência;100;300.000,00;4;0;24/10/2012;300.000,00; -   ;381.678,70; -   ;150.000,00;150.000,00; -   ; -   ; -   ;1667;19196;0,268029727
25;PB;2516607;TAVARES;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PB0712074036;CV 1149/07;;;SIM;BANCADA DA PARAIBA;1.139.453,39;92.473,92;31/12/2007;2007;31/12/2007;31/12/2007;30/06/2017;NÃO;Concluída com etapa útil e sem pendência;100;1.000.000,00;4;1;12/02/2015;1.000.000,00; -   ;1.139.453,39; -   ;400.000,00;300.000,00;300.000,00; -   ; -   ;3469;14759;0,362592878
24;RN;2408102;NATAL;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;RN1507112758;TC/PAC 0265/12;;;NÃO;;11.233.032,77;2.893.842,02;30/03/2012;2012;30/03/2012;30/03/2012;08/05/2023;SIM;Paralisada;53,06;4.254.656,92;2;2;04/11/2013;7.577.543,97;3.322.887,05;11.233.032,77; -   ;2.552.794,15;1.701.862,77; -   ; -   ; -   ;4056;890480;0,533752982
11;RO;1100254;PRESIDENTE MÉDICI;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;RO1507119232;TC/PAC 0551/11;;;NÃO;;17.779.372,35; -   ;29/12/2011;2011;29/12/2011;29/12/2011;22/06/2015;NÃO;CONCLUÍDA SEM INÍCIO DE OPERAÇÃO;98,13;17.779.372,35;5;0;20/03/2015;17.779.372,35; -   ;17.779.372,35; -   ;5.375.293,09;3.583.528,73;3.583.528,73;40.510,57; -   ;1271;18571;0,571741373
31;MG;3113503;CARBONITA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;MG1708042020;CV 1137/04;;;NÃO;;377.037,71;3.808,08;30/06/2004;2004;30/06/2004;30/06/2004;03/02/2012;NÃO;Não Executada;20,3;250.233,08;0;2;;417.000,00; -   ;377.037,71; -   ; -   ; -   ; -   ; -   ; -   ;2774;9414;0,723173109
